onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
70	200	1	1	1	141	stim141_inanimate_furniture_bed_1.png
70.2	200	2	1	2	20	stim020_animate_aquatic_shrimp_4.png
70.4	200	3	1	3	89	stim089_animate_mammal_kangaroo_1.png
70.6	200	4	1	4	154	stim154_inanimate_furniture_sofa_2.png
70.8	200	5	1	5	156	stim156_inanimate_furniture_sofa_4.png
71	200	6	1	6	74	stim074_animate_insect_dragonfly_2.png
71.2	200	7	1	7	23	stim023_animate_bird_chicken_3.png
71.4	200	8	1	8	131	stim131_inanimate_fruits_grape_3.png
71.6	200	9	1	9	198	stim198_inanimate_tools_wrench_2.png
71.8	200	10	1	10	101	stim101_inanimate_clothing_gloves_1.png
72	200	11	1	11	107	stim107_inanimate_clothing_hat_3.png
72.2	200	12	1	12	5	stim005_animate_aquatic_fish_1.png
72.4	200	13	1	13	9	stim009_animate_aquatic_seahorse_1.png
72.6	200	14	1	14	27	stim027_animate_bird_duck_3.png
72.8	200	15	1	15	114	stim114_inanimate_clothing_shirt_2.png
73	200	16	1	16	167	stim167_inanimate_plants_cactus_3.png
73.2	200	17	1	17	58	stim058_animate_human_sports_2.png
73.4	200	18	1	18	90	stim090_animate_mammal_kangaroo_2.png
73.6	200	19	1	19	22	stim022_animate_bird_chicken_2.png
73.8	200	20	1	20	128	stim128_inanimate_fruits_banana_4.png
74	200	21	1	21	85	stim085_animate_mammal_giraffe_1.png
74.2	200	22	1	22	196	stim196_inanimate_tools_scissors_4.png
74.4	200	23	1	23	139	stim139_inanimate_fruits_strawberry_3.png
74.6	200	24	1	24	108	stim108_inanimate_clothing_hat_4.png
74.8	200	25	1	25	52	stim052_animate_human_clown_4.png
75	200	26	1	26	115	stim115_inanimate_clothing_shirt_3.png
75.2	200	27	1	27	44	stim044_animate_human_baby_4.png
75.4	200	28	1	28	57	stim057_animate_human_sports_1.png
75.6	200	29	1	29	112	stim112_inanimate_clothing_jeans_4.png
75.8	200	30	1	30	105	stim105_inanimate_clothing_hat_1.png
76	200	31	1	31	145	stim145_inanimate_furniture_chair_1.png
76.2	200	32	1	32	135	stim135_inanimate_fruits_pineapple_3.png
76.4	200	33	1	33	51	stim051_animate_human_clown_3.png
76.6	200	34	1	34	140	stim140_inanimate_fruits_strawberry_4.png
76.8	200	35	1	35	109	stim109_inanimate_clothing_jeans_1.png
77	200	36	1	36	77	stim077_animate_insect_grasshopper_1.png
77.2	200	37	1	37	72	stim072_animate_insect_butterfly_4.png
77.4	200	38	1	38	132	stim132_inanimate_fruits_grape_4.png
77.6	200	39	1	39	173	stim173_inanimate_plants_tree_1.png
77.8	200	40	1	40	106	stim106_inanimate_clothing_hat_2.png
78	200	41	1	41	121	stim121_inanimate_fruits_apple_1.png
78.2	200	42	1	42	133	stim133_inanimate_fruits_pineapple_1.png
78.4	200	43	1	43	37	stim037_animate_bird_penguin_1.png
