onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
38.294	200	1	1	1	67	stim067_animate_insect_bug_3.png
41.278	200	2	1	2	75	stim075_animate_insect_dragonfly_3.png
41.478	200	3	1	3	176	stim176_inanimate_plants_tree_4.png
41.676	200	4	1	4	198	stim198_inanimate_tools_wrench_2.png
41.876	200	5	1	5	48	stim048_animate_human_child_4.png
42.076	200	6	1	6	167	stim167_inanimate_plants_cactus_3.png
42.276	200	7	1	7	60	stim060_animate_human_sports_4.png
42.476	200	8	1	8	171	stim171_inanimate_plants_sunflower_3.png
42.676	200	9	1	9	38	stim038_animate_bird_penguin_2.png
42.876	200	10	1	10	58	stim058_animate_human_sports_2.png
43.076	200	11	1	11	165	stim165_inanimate_plants_cactus_1.png
54.31	200	12	1	12	188	stim188_inanimate_tools_hammer_4.png
54.51	200	13	1	13	196	stim196_inanimate_tools_scissors_4.png
54.71	200	14	1	14	34	stim034_animate_bird_peacock_2.png
54.91	200	15	1	15	19	stim019_animate_aquatic_shrimp_3.png
55.11	200	16	1	16	137	stim137_inanimate_fruits_strawberry_1.png
55.31	200	17	1	17	55	stim055_animate_human_faces_3.png
55.51	200	18	1	18	76	stim076_animate_insect_dragonfly_4.png
55.71	200	19	1	19	8	stim008_animate_aquatic_fish_4.png
55.91	200	20	1	20	111	stim111_inanimate_clothing_jeans_3.png
56.11	200	21	1	21	33	stim033_animate_bird_peacock_1.png
56.31	200	22	1	22	197	stim197_inanimate_tools_wrench_1.png
56.51	200	23	1	23	156	stim156_inanimate_furniture_sofa_4.png
56.71	200	24	1	24	4	stim004_animate_aquatic_crab_4.png
56.91	200	25	1	25	71	stim071_animate_insect_butterfly_3.png
57.11	200	26	1	26	192	stim192_inanimate_tools_pan_4.png
57.31	200	27	1	27	22	stim022_animate_bird_chicken_2.png
57.51	200	28	1	28	68	stim068_animate_insect_bug_4.png
57.71	200	29	1	29	116	stim116_inanimate_clothing_shirt_4.png
57.91	200	30	1	30	112	stim112_inanimate_clothing_jeans_4.png
58.11	200	31	1	31	36	stim036_animate_bird_peacock_4.png
58.31	200	32	1	32	66	stim066_animate_insect_bug_2.png
58.51	200	33	1	33	92	stim092_animate_mammal_kangaroo_4.png
58.71	200	34	1	34	194	stim194_inanimate_tools_scissors_2.png
58.91	200	35	1	35	125	stim125_inanimate_fruits_banana_1.png
59.11	200	36	1	36	141	stim141_inanimate_furniture_bed_1.png
61.624	200	37	1	37	145	stim145_inanimate_furniture_chair_1.png
61.838	200	38	1	38	110	stim110_inanimate_clothing_jeans_2.png
62.05	200	39	1	39	94	stim094_animate_mammal_monkey_2.png
62.262	200	40	1	40	181	stim181_inanimate_tools_broom_1.png
62.474	200	41	1	41	81	stim081_animate_mammal_cow_1.png
62.686	200	42	1	42	31	stim031_animate_bird_parrot_3.png
62.898	200	43	1	43	89	stim089_animate_mammal_kangaroo_1.png
63.11	200	44	1	44	153	stim153_inanimate_furniture_sofa_1.png
63.322	200	45	1	45	173	stim173_inanimate_plants_tree_1.png
63.534	200	46	1	46	115	stim115_inanimate_clothing_shirt_3.png
63.746	200	47	1	47	142	stim142_inanimate_furniture_bed_2.png
63.958	200	48	1	48	35	stim035_animate_bird_peacock_3.png
64.172	200	49	1	49	113	stim113_inanimate_clothing_shirt_1.png
64.384	200	50	1	50	114	stim114_inanimate_clothing_shirt_2.png
64.596	200	51	1	51	138	stim138_inanimate_fruits_strawberry_2.png
64.808	200	52	1	52	46	stim046_animate_human_child_2.png
65.02	200	53	1	53	183	stim183_inanimate_tools_broom_3.png
66.96	200	54	1	54	52	stim052_animate_human_clown_4.png
67.16	200	55	1	55	149	stim149_inanimate_furniture_closet_1.png
