onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
47.2	200	1	1	1	147	stim147_inanimate_furniture_chair_3.png
47.4	200	2	1	2	21	stim021_animate_bird_chicken_1.png
47.6	200	3	1	3	125	stim125_inanimate_fruits_banana_1.png
47.8	200	4	1	4	196	stim196_inanimate_tools_scissors_4.png
48	200	5	1	5	67	stim067_animate_insect_bug_3.png
48.2	200	6	1	6	10	stim010_animate_aquatic_seahorse_2.png
48.4	200	7	1	7	1	stim001_animate_aquatic_crab_1.png
48.6	200	8	1	8	38	stim038_animate_bird_penguin_2.png
48.8	200	9	1	9	170	stim170_inanimate_plants_sunflower_2.png
49	200	10	1	10	151	stim151_inanimate_furniture_closet_3.png
49.2	200	11	1	11	121	stim121_inanimate_fruits_apple_1.png
49.4	200	12	1	12	189	stim189_inanimate_tools_pan_1.png
49.6	200	13	1	13	96	stim096_animate_mammal_monkey_4.png
49.8	200	14	1	14	82	stim082_animate_mammal_cow_2.png
50	200	15	1	15	6	stim006_animate_aquatic_fish_2.png
50.2	200	16	1	16	70	stim070_animate_insect_butterfly_2.png
50.4	200	17	1	17	126	stim126_inanimate_fruits_banana_2.png
50.6	200	18	1	18	51	stim051_animate_human_clown_3.png
50.8	200	19	1	19	106	stim106_inanimate_clothing_hat_2.png
51	200	20	1	20	138	stim138_inanimate_fruits_strawberry_2.png
51.2	200	21	1	21	139	stim139_inanimate_fruits_strawberry_3.png
51.4	200	22	1	22	175	stim175_inanimate_plants_tree_3.png
51.6	200	23	1	23	25	stim025_animate_bird_duck_1.png
51.8	200	24	1	24	50	stim050_animate_human_clown_2.png
52	200	25	1	25	145	stim145_inanimate_furniture_chair_1.png
52.2	200	26	1	26	142	stim142_inanimate_furniture_bed_2.png
52.4	200	27	1	27	68	stim068_animate_insect_bug_4.png
52.6	200	28	1	28	192	stim192_inanimate_tools_pan_4.png
52.8	200	29	1	29	157	stim157_inanimate_furniture_table_1.png
53	200	30	1	30	23	stim023_animate_bird_chicken_3.png
