onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
9.34	200	1	1	1	54	stim054_animate_human_faces_2.png
9.54	200	2	1	2	30	stim030_animate_bird_parrot_2.png
9.74	200	3	1	3	167	stim167_inanimate_plants_cactus_3.png
9.94	200	4	1	4	88	stim088_animate_mammal_giraffe_4.png
10.14	200	5	1	5	118	stim118_inanimate_clothing_socks_2.png
10.34	200	6	1	6	27	stim027_animate_bird_duck_3.png
10.54	200	7	1	7	59	stim059_animate_human_sports_3.png
10.74	200	8	1	8	178	stim178_inanimate_plants_tulip_2.png
10.94	200	9	1	9	92	stim092_animate_mammal_kangaroo_4.png
11.14	200	10	1	10	36	stim036_animate_bird_peacock_4.png
11.34	200	11	1	11	15	stim015_animate_aquatic_shark_3.png
11.54	200	12	1	12	20	stim020_animate_aquatic_shrimp_4.png
11.74	200	13	1	13	136	stim136_inanimate_fruits_pineapple_4.png
11.94	200	14	1	14	35	stim035_animate_bird_peacock_3.png
12.14	200	15	1	15	130	stim130_inanimate_fruits_grape_2.png
12.34	200	16	1	16	49	stim049_animate_human_clown_1.png
12.54	200	17	1	17	68	stim068_animate_insect_bug_4.png
12.74	200	18	1	18	188	stim188_inanimate_tools_hammer_4.png
12.94	200	19	1	19	175	stim175_inanimate_plants_tree_3.png
13.14	200	20	1	20	75	stim075_animate_insect_dragonfly_3.png
13.34	200	21	1	21	134	stim134_inanimate_fruits_pineapple_2.png
13.54	200	22	1	22	70	stim070_animate_insect_butterfly_2.png
13.74	200	23	1	23	110	stim110_inanimate_clothing_jeans_2.png
13.94	200	24	1	24	21	stim021_animate_bird_chicken_1.png
14.14	200	25	1	25	117	stim117_inanimate_clothing_socks_1.png
14.34	200	26	1	26	33	stim033_animate_bird_peacock_1.png
14.54	200	27	1	27	144	stim144_inanimate_furniture_bed_4.png
14.74	200	28	1	28	7	stim007_animate_aquatic_fish_3.png
14.94	200	29	1	29	90	stim090_animate_mammal_kangaroo_2.png
15.14	200	30	1	30	151	stim151_inanimate_furniture_closet_3.png
15.34	200	31	1	31	149	stim149_inanimate_furniture_closet_1.png
