onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
34.37	200	1	1	1	10	stim010_animate_aquatic_seahorse_2.png
34.57	200	2	1	2	74	stim074_animate_insect_dragonfly_2.png
34.77	200	3	1	3	179	stim179_inanimate_plants_tulip_3.png
34.97	200	4	1	4	196	stim196_inanimate_tools_scissors_4.png
35.17	200	5	1	5	37	stim037_animate_bird_penguin_1.png
35.37	200	6	1	6	119	stim119_inanimate_clothing_socks_3.png
35.57	200	7	1	7	95	stim095_animate_mammal_monkey_3.png
35.77	200	8	1	8	172	stim172_inanimate_plants_sunflower_4.png
35.97	200	9	1	9	198	stim198_inanimate_tools_wrench_2.png
36.17	200	10	1	10	25	stim025_animate_bird_duck_1.png
36.37	200	11	1	11	117	stim117_inanimate_clothing_socks_1.png
36.57	200	12	1	12	154	stim154_inanimate_furniture_sofa_2.png
36.77	200	13	1	13	128	stim128_inanimate_fruits_banana_4.png
36.97	200	14	1	14	156	stim156_inanimate_furniture_sofa_4.png
37.17	200	15	1	15	5	stim005_animate_aquatic_fish_1.png
37.37	200	16	1	16	132	stim132_inanimate_fruits_grape_4.png
37.57	200	17	1	17	111	stim111_inanimate_clothing_jeans_3.png
37.77	200	18	1	18	148	stim148_inanimate_furniture_chair_4.png
37.97	200	19	1	19	96	stim096_animate_mammal_monkey_4.png
38.17	200	20	1	20	160	stim160_inanimate_furniture_table_4.png
38.37	200	21	1	21	141	stim141_inanimate_furniture_bed_1.png
38.57	200	22	1	22	112	stim112_inanimate_clothing_jeans_4.png
38.77	200	23	1	23	101	stim101_inanimate_clothing_gloves_1.png
38.97	200	24	1	24	46	stim046_animate_human_child_2.png
39.17	200	25	1	25	15	stim015_animate_aquatic_shark_3.png
39.37	200	26	1	26	28	stim028_animate_bird_duck_4.png
39.57	200	27	1	27	32	stim032_animate_bird_parrot_4.png
39.77	200	28	1	28	97	stim097_animate_mammal_rhino_1.png
39.97	200	29	1	29	40	stim040_animate_bird_penguin_4.png
40.17	200	30	1	30	191	stim191_inanimate_tools_pan_3.png
40.37	200	31	1	31	42	stim042_animate_human_baby_2.png
40.57	200	32	1	32	185	stim185_inanimate_tools_hammer_1.png
40.77	200	33	1	33	127	stim127_inanimate_fruits_banana_3.png
40.97	200	34	1	34	33	stim033_animate_bird_peacock_1.png
41.17	200	35	1	35	100	stim100_animate_mammal_rhino_4.png
41.37	200	36	1	36	153	stim153_inanimate_furniture_sofa_1.png
41.57	200	37	1	37	130	stim130_inanimate_fruits_grape_2.png
41.77	200	38	1	38	70	stim070_animate_insect_butterfly_2.png
41.97	200	39	1	39	183	stim183_inanimate_tools_broom_3.png
42.17	200	40	1	40	47	stim047_animate_human_child_3.png
42.37	200	41	1	41	173	stim173_inanimate_plants_tree_1.png
42.57	200	42	1	42	17	stim017_animate_aquatic_shrimp_1.png
42.77	200	43	1	43	13	stim013_animate_aquatic_shark_1.png
42.97	200	44	1	44	149	stim149_inanimate_furniture_closet_1.png
43.17	200	45	1	45	16	stim016_animate_aquatic_shark_4.png
43.37	200	46	1	46	48	stim048_animate_human_child_4.png
