onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
39.212	200	1	1	1	58	stim058_animate_human_sports_2.png
39.412	200	2	1	2	22	stim022_animate_bird_chicken_2.png
39.612	200	3	1	3	167	stim167_inanimate_plants_cactus_3.png
39.812	200	4	1	4	118	stim118_inanimate_clothing_socks_2.png
40.012	200	5	1	5	6	stim006_animate_aquatic_fish_2.png
40.212	200	6	1	6	35	stim035_animate_bird_peacock_3.png
40.412	200	7	1	7	77	stim077_animate_insect_grasshopper_1.png
40.612	200	8	1	8	183	stim183_inanimate_tools_broom_3.png
40.812	200	9	1	9	196	stim196_inanimate_tools_scissors_4.png
41.012	200	10	1	10	175	stim175_inanimate_plants_tree_3.png
41.212	200	11	1	11	160	stim160_inanimate_furniture_table_4.png
41.412	200	12	1	12	3	stim003_animate_aquatic_crab_3.png
41.612	200	13	1	13	125	stim125_inanimate_fruits_banana_1.png
41.812	200	14	1	14	97	stim097_animate_mammal_rhino_1.png
42.012	200	15	1	15	188	stim188_inanimate_tools_hammer_4.png
42.212	200	16	1	16	138	stim138_inanimate_fruits_strawberry_2.png
42.412	200	17	1	17	194	stim194_inanimate_tools_scissors_2.png
42.612	200	18	1	18	41	stim041_animate_human_baby_1.png
42.812	200	19	1	19	150	stim150_inanimate_furniture_closet_2.png
43.012	200	20	1	20	87	stim087_animate_mammal_giraffe_3.png
43.212	200	21	1	21	172	stim172_inanimate_plants_sunflower_4.png
43.412	200	22	1	22	46	stim046_animate_human_child_2.png
43.612	200	23	1	23	135	stim135_inanimate_fruits_pineapple_3.png
43.812	200	24	1	24	30	stim030_animate_bird_parrot_2.png
44.012	200	25	1	25	26	stim026_animate_bird_duck_2.png
44.212	200	26	1	26	96	stim096_animate_mammal_monkey_4.png
44.412	200	27	1	27	165	stim165_inanimate_plants_cactus_1.png
44.612	200	28	1	28	11	stim011_animate_aquatic_seahorse_3.png
44.812	200	29	1	29	81	stim081_animate_mammal_cow_1.png
45.012	200	30	1	30	79	stim079_animate_insect_grasshopper_3.png
45.212	200	31	1	31	23	stim023_animate_bird_chicken_3.png
45.412	200	32	1	32	12	stim012_animate_aquatic_seahorse_4.png
45.612	200	33	1	33	50	stim050_animate_human_clown_2.png
45.812	200	34	1	34	199	stim199_inanimate_tools_wrench_3.png
46.012	200	35	1	35	145	stim145_inanimate_furniture_chair_1.png
46.212	200	36	1	36	157	stim157_inanimate_furniture_table_1.png
46.412	200	37	1	37	170	stim170_inanimate_plants_sunflower_2.png
46.612	200	38	1	38	65	stim065_animate_insect_bug_1.png
46.812	200	39	1	39	184	stim184_inanimate_tools_broom_4.png
47.012	200	40	1	40	164	stim164_inanimate_plants_bush_4.png
47.212	200	41	1	41	149	stim149_inanimate_furniture_closet_1.png
47.412	200	42	1	42	156	stim156_inanimate_furniture_sofa_4.png
47.612	200	43	1	43	28	stim028_animate_bird_duck_4.png
47.812	200	44	1	44	181	stim181_inanimate_tools_broom_1.png
48.012	200	45	1	45	147	stim147_inanimate_furniture_chair_3.png
48.212	200	46	1	46	33	stim033_animate_bird_peacock_1.png
48.412	200	47	1	47	104	stim104_inanimate_clothing_gloves_4.png
48.612	200	48	1	48	4	stim004_animate_aquatic_crab_4.png
48.812	200	49	1	49	24	stim024_animate_bird_chicken_4.png
49.012	200	50	1	50	116	stim116_inanimate_clothing_shirt_4.png
49.212	200	51	1	51	73	stim073_animate_insect_dragonfly_1.png
49.412	200	52	1	52	185	stim185_inanimate_tools_hammer_1.png
49.612	200	53	1	53	130	stim130_inanimate_fruits_grape_2.png
49.812	200	54	1	54	200	stim200_inanimate_tools_wrench_4.png
50.012	200	55	1	55	88	stim088_animate_mammal_giraffe_4.png
50.212	200	56	1	56	133	stim133_inanimate_fruits_pineapple_1.png
50.412	200	57	1	57	103	stim103_inanimate_clothing_gloves_3.png
50.612	200	58	1	58	171	stim171_inanimate_plants_sunflower_3.png
50.812	200	59	1	59	34	stim034_animate_bird_peacock_2.png
51.012	200	60	1	60	15	stim015_animate_aquatic_shark_3.png
51.212	200	61	1	61	99	stim099_animate_mammal_rhino_3.png
51.412	200	62	1	62	151	stim151_inanimate_furniture_closet_3.png
51.612	200	63	1	63	132	stim132_inanimate_fruits_grape_4.png
51.812	200	64	1	64	94	stim094_animate_mammal_monkey_2.png
52.012	200	65	1	65	66	stim066_animate_insect_bug_2.png
52.212	200	66	1	66	91	stim091_animate_mammal_kangaroo_3.png
52.412	200	67	1	67	38	stim038_animate_bird_penguin_2.png
52.612	200	68	1	68	134	stim134_inanimate_fruits_pineapple_2.png
52.812	200	69	1	69	124	stim124_inanimate_fruits_apple_4.png
53.012	200	70	1	70	55	stim055_animate_human_faces_3.png
53.212	200	71	1	71	63	stim063_animate_insect_ant_3.png
53.412	200	72	1	72	121	stim121_inanimate_fruits_apple_1.png
53.612	200	73	1	73	159	stim159_inanimate_furniture_table_3.png
53.812	200	74	1	74	68	stim068_animate_insect_bug_4.png
54.012	200	75	1	75	162	stim162_inanimate_plants_bush_2.png
54.212	200	76	1	76	56	stim056_animate_human_faces_4.png
67.212	200	77	1	77	177	stim177_inanimate_plants_tulip_1.png
67.412	200	78	1	78	180	stim180_inanimate_plants_tulip_4.png
67.612	200	79	1	79	85	stim085_animate_mammal_giraffe_1.png
67.812	200	80	1	80	127	stim127_inanimate_fruits_banana_3.png
68.012	200	81	1	81	44	stim044_animate_human_baby_4.png
68.212	200	82	1	82	129	stim129_inanimate_fruits_grape_1.png
68.412	200	83	1	83	197	stim197_inanimate_tools_wrench_1.png
68.612	200	84	1	84	100	stim100_animate_mammal_rhino_4.png
68.812	200	85	1	85	7	stim007_animate_aquatic_fish_3.png
69.012	200	86	1	86	48	stim048_animate_human_child_4.png
69.212	200	87	1	87	108	stim108_inanimate_clothing_hat_4.png
69.412	200	88	1	88	153	stim153_inanimate_furniture_sofa_1.png
69.612	200	89	1	89	193	stim193_inanimate_tools_scissors_1.png
69.812	200	90	1	90	84	stim084_animate_mammal_cow_4.png
70.012	200	91	1	91	179	stim179_inanimate_plants_tulip_3.png
70.212	200	92	1	92	76	stim076_animate_insect_dragonfly_4.png
70.412	200	93	1	93	51	stim051_animate_human_clown_3.png
70.612	200	94	1	94	146	stim146_inanimate_furniture_chair_2.png
70.812	200	95	1	95	16	stim016_animate_aquatic_shark_4.png
71.012	200	96	1	96	2	stim002_animate_aquatic_crab_2.png
71.212	200	97	1	97	74	stim074_animate_insect_dragonfly_2.png
71.412	200	98	1	98	59	stim059_animate_human_sports_3.png
71.612	200	99	1	99	10	stim010_animate_aquatic_seahorse_2.png
71.812	200	100	1	100	32	stim032_animate_bird_parrot_4.png
72.012	200	101	1	101	182	stim182_inanimate_tools_broom_2.png
72.212	200	102	1	102	54	stim054_animate_human_faces_2.png
72.412	200	103	1	103	192	stim192_inanimate_tools_pan_4.png
72.612	200	104	1	104	140	stim140_inanimate_fruits_strawberry_4.png
72.812	200	105	1	105	62	stim062_animate_insect_ant_2.png
73.012	200	106	1	106	20	stim020_animate_aquatic_shrimp_4.png
73.212	200	107	1	107	166	stim166_inanimate_plants_cactus_2.png
73.412	200	108	1	108	42	stim042_animate_human_baby_2.png
73.612	200	109	1	109	69	stim069_animate_insect_butterfly_1.png
73.812	200	110	1	110	43	stim043_animate_human_baby_3.png
74.012	200	111	1	111	110	stim110_inanimate_clothing_jeans_2.png
74.212	200	112	1	112	111	stim111_inanimate_clothing_jeans_3.png
74.412	200	113	1	113	13	stim013_animate_aquatic_shark_1.png
74.612	200	114	1	114	137	stim137_inanimate_fruits_strawberry_1.png
74.812	200	115	1	115	9	stim009_animate_aquatic_seahorse_1.png
75.012	200	116	1	116	39	stim039_animate_bird_penguin_3.png
75.212	200	117	1	117	191	stim191_inanimate_tools_pan_3.png
75.412	200	118	1	118	169	stim169_inanimate_plants_sunflower_1.png
75.612	200	119	1	119	148	stim148_inanimate_furniture_chair_4.png
75.812	200	120	1	120	21	stim021_animate_bird_chicken_1.png
76.012	200	121	1	121	190	stim190_inanimate_tools_pan_2.png
76.212	200	122	1	122	80	stim080_animate_insect_grasshopper_4.png
76.412	200	123	1	123	60	stim060_animate_human_sports_4.png
76.612	200	124	1	124	106	stim106_inanimate_clothing_hat_2.png
76.812	200	125	1	125	14	stim014_animate_aquatic_shark_2.png
77.012	200	126	1	126	112	stim112_inanimate_clothing_jeans_4.png
77.212	200	127	1	127	53	stim053_animate_human_faces_1.png
77.412	200	128	1	128	47	stim047_animate_human_child_3.png
77.612	200	129	1	129	105	stim105_inanimate_clothing_hat_1.png
77.812	200	130	1	130	143	stim143_inanimate_furniture_bed_3.png
78.012	200	131	1	131	126	stim126_inanimate_fruits_banana_2.png
78.212	200	132	1	132	45	stim045_animate_human_child_1.png
78.412	200	133	1	133	98	stim098_animate_mammal_rhino_2.png
78.612	200	134	1	134	29	stim029_animate_bird_parrot_1.png
78.812	200	135	1	135	5	stim005_animate_aquatic_fish_1.png
79.012	200	136	1	136	178	stim178_inanimate_plants_tulip_2.png
79.212	200	137	1	137	155	stim155_inanimate_furniture_sofa_3.png
79.412	200	138	1	138	27	stim027_animate_bird_duck_3.png
79.612	200	139	1	139	198	stim198_inanimate_tools_wrench_2.png
79.812	200	140	1	140	82	stim082_animate_mammal_cow_2.png
80.012	200	141	1	141	1	stim001_animate_aquatic_crab_1.png
80.212	200	142	1	142	117	stim117_inanimate_clothing_socks_1.png
80.412	200	143	1	143	37	stim037_animate_bird_penguin_1.png
80.612	200	144	1	144	90	stim090_animate_mammal_kangaroo_2.png
80.812	200	145	1	145	49	stim049_animate_human_clown_1.png
81.012	200	146	1	146	187	stim187_inanimate_tools_hammer_3.png
81.212	200	147	1	147	154	stim154_inanimate_furniture_sofa_2.png
81.412	200	148	1	148	57	stim057_animate_human_sports_1.png
81.612	200	149	1	149	141	stim141_inanimate_furniture_bed_1.png
81.812	200	150	1	150	72	stim072_animate_insect_butterfly_4.png
82.012	200	151	1	151	70	stim070_animate_insect_butterfly_2.png
82.212	200	152	1	152	78	stim078_animate_insect_grasshopper_2.png
82.412	200	153	1	153	114	stim114_inanimate_clothing_shirt_2.png
82.612	200	154	1	154	19	stim019_animate_aquatic_shrimp_3.png
82.812	200	155	1	155	86	stim086_animate_mammal_giraffe_2.png
83.012	200	156	1	156	17	stim017_animate_aquatic_shrimp_1.png
