onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
45.906	200	1	1	1	200	stim200_inanimate_tools_wrench_4.png
46.106	200	2	1	2	75	stim075_animate_insect_dragonfly_3.png
46.306	200	3	1	3	22	stim022_animate_bird_chicken_2.png
46.506	200	4	1	4	5	stim005_animate_aquatic_fish_1.png
46.706	200	5	1	5	152	stim152_inanimate_furniture_closet_4.png
46.906	200	6	1	6	79	stim079_animate_insect_grasshopper_3.png
47.106	200	7	1	7	109	stim109_inanimate_clothing_jeans_1.png
47.306	200	8	1	8	98	stim098_animate_mammal_rhino_2.png
47.506	200	9	1	9	136	stim136_inanimate_fruits_pineapple_4.png
47.706	200	10	1	10	92	stim092_animate_mammal_kangaroo_4.png
47.906	200	11	1	11	34	stim034_animate_bird_peacock_2.png
48.106	200	12	1	12	186	stim186_inanimate_tools_hammer_2.png
48.306	200	13	1	13	50	stim050_animate_human_clown_2.png
48.506	200	14	1	14	69	stim069_animate_insect_butterfly_1.png
48.706	200	15	1	15	114	stim114_inanimate_clothing_shirt_2.png
48.906	200	16	1	16	4	stim004_animate_aquatic_crab_4.png
49.106	200	17	1	17	57	stim057_animate_human_sports_1.png
49.306	200	18	1	18	159	stim159_inanimate_furniture_table_3.png
49.506	200	19	1	19	117	stim117_inanimate_clothing_socks_1.png
49.706	200	20	1	20	7	stim007_animate_aquatic_fish_3.png
49.906	200	21	1	21	28	stim028_animate_bird_duck_4.png
50.106	200	22	1	22	198	stim198_inanimate_tools_wrench_2.png
50.306	200	23	1	23	128	stim128_inanimate_fruits_banana_4.png
50.506	200	24	1	24	108	stim108_inanimate_clothing_hat_4.png
50.706	200	25	1	25	6	stim006_animate_aquatic_fish_2.png
50.906	200	26	1	26	132	stim132_inanimate_fruits_grape_4.png
51.106	200	27	1	27	161	stim161_inanimate_plants_bush_1.png
51.306	200	28	1	28	111	stim111_inanimate_clothing_jeans_3.png
51.506	200	29	1	29	191	stim191_inanimate_tools_pan_3.png
51.706	200	30	1	30	15	stim015_animate_aquatic_shark_3.png
51.906	200	31	1	31	53	stim053_animate_human_faces_1.png
52.106	200	32	1	32	10	stim010_animate_aquatic_seahorse_2.png
52.306	200	33	1	33	151	stim151_inanimate_furniture_closet_3.png
52.506	200	34	1	34	95	stim095_animate_mammal_monkey_3.png
52.706	200	35	1	35	45	stim045_animate_human_child_1.png
52.906	200	36	1	36	183	stim183_inanimate_tools_broom_3.png
53.106	200	37	1	37	56	stim056_animate_human_faces_4.png
53.306	200	38	1	38	93	stim093_animate_mammal_monkey_1.png
53.506	200	39	1	39	145	stim145_inanimate_furniture_chair_1.png
53.706	200	40	1	40	167	stim167_inanimate_plants_cactus_3.png
53.906	200	41	1	41	147	stim147_inanimate_furniture_chair_3.png
54.106	200	42	1	42	73	stim073_animate_insect_dragonfly_1.png
54.306	200	43	1	43	81	stim081_animate_mammal_cow_1.png
54.506	200	44	1	44	160	stim160_inanimate_furniture_table_4.png
54.706	200	45	1	45	179	stim179_inanimate_plants_tulip_3.png
54.906	200	46	1	46	122	stim122_inanimate_fruits_apple_2.png
55.106	200	47	1	47	46	stim046_animate_human_child_2.png
55.306	200	48	1	48	124	stim124_inanimate_fruits_apple_4.png
55.506	200	49	1	49	196	stim196_inanimate_tools_scissors_4.png
55.706	200	50	1	50	115	stim115_inanimate_clothing_shirt_3.png
55.906	200	51	1	51	42	stim042_animate_human_baby_2.png
56.106	200	52	1	52	47	stim047_animate_human_child_3.png
56.306	200	53	1	53	154	stim154_inanimate_furniture_sofa_2.png
56.506	200	54	1	54	137	stim137_inanimate_fruits_strawberry_1.png
56.706	200	55	1	55	83	stim083_animate_mammal_cow_3.png
56.906	200	56	1	56	134	stim134_inanimate_fruits_pineapple_2.png
57.106	200	57	1	57	51	stim051_animate_human_clown_3.png
57.306	200	58	1	58	30	stim030_animate_bird_parrot_2.png
57.506	200	59	1	59	156	stim156_inanimate_furniture_sofa_4.png
57.706	200	60	1	60	26	stim026_animate_bird_duck_2.png
57.906	200	61	1	61	110	stim110_inanimate_clothing_jeans_2.png
58.106	200	62	1	62	169	stim169_inanimate_plants_sunflower_1.png
58.306	200	63	1	63	71	stim071_animate_insect_butterfly_3.png
58.506	200	64	1	64	72	stim072_animate_insect_butterfly_4.png
58.706	200	65	1	65	85	stim085_animate_mammal_giraffe_1.png
58.906	200	66	1	66	180	stim180_inanimate_plants_tulip_4.png
59.106	200	67	1	67	174	stim174_inanimate_plants_tree_2.png
59.306	200	68	1	68	74	stim074_animate_insect_dragonfly_2.png
59.506	200	69	1	69	195	stim195_inanimate_tools_scissors_3.png
59.706	200	70	1	70	182	stim182_inanimate_tools_broom_2.png
59.906	200	71	1	71	164	stim164_inanimate_plants_bush_4.png
60.106	200	72	1	72	67	stim067_animate_insect_bug_3.png
60.306	200	73	1	73	39	stim039_animate_bird_penguin_3.png
