onset	duration	trialnr	blocknr	presentationnumber	stimnum	stim
19.352	200	1	1	1	147	stim147_inanimate_furniture_chair_3.png
19.552	200	2	1	2	43	stim043_animate_human_baby_3.png
19.752	200	3	1	3	162	stim162_inanimate_plants_bush_2.png
19.952	200	4	1	4	60	stim060_animate_human_sports_4.png
20.152	200	5	1	5	71	stim071_animate_insect_butterfly_3.png
20.352	200	6	1	6	123	stim123_inanimate_fruits_apple_3.png
20.552	200	7	1	7	167	stim167_inanimate_plants_cactus_3.png
20.752	200	8	1	8	137	stim137_inanimate_fruits_strawberry_1.png
20.952	200	9	1	9	136	stim136_inanimate_fruits_pineapple_4.png
21.152	200	10	1	10	48	stim048_animate_human_child_4.png
21.352	200	11	1	11	194	stim194_inanimate_tools_scissors_2.png
21.552	200	12	1	12	158	stim158_inanimate_furniture_table_2.png
21.752	200	13	1	13	129	stim129_inanimate_fruits_grape_1.png
21.952	200	14	1	14	83	stim083_animate_mammal_cow_3.png
22.152	200	15	1	15	176	stim176_inanimate_plants_tree_4.png
22.352	200	16	1	16	192	stim192_inanimate_tools_pan_4.png
22.552	200	17	1	17	124	stim124_inanimate_fruits_apple_4.png
22.752	200	18	1	18	114	stim114_inanimate_clothing_shirt_2.png
22.952	200	19	1	19	73	stim073_animate_insect_dragonfly_1.png
23.152	200	20	1	20	173	stim173_inanimate_plants_tree_1.png
23.352	200	21	1	21	163	stim163_inanimate_plants_bush_3.png
23.552	200	22	1	22	19	stim019_animate_aquatic_shrimp_3.png
23.752	200	23	1	23	78	stim078_animate_insect_grasshopper_2.png
23.952	200	24	1	24	106	stim106_inanimate_clothing_hat_2.png
24.152	200	25	1	25	80	stim080_animate_insect_grasshopper_4.png
24.352	200	26	1	26	133	stim133_inanimate_fruits_pineapple_1.png
24.552	200	27	1	27	128	stim128_inanimate_fruits_banana_4.png
24.752	200	28	1	28	14	stim014_animate_aquatic_shark_2.png
24.952	200	29	1	29	156	stim156_inanimate_furniture_sofa_4.png
25.152	200	30	1	30	110	stim110_inanimate_clothing_jeans_2.png
25.352	200	31	1	31	72	stim072_animate_insect_butterfly_4.png
25.552	200	32	1	32	82	stim082_animate_mammal_cow_2.png
25.752	200	33	1	33	143	stim143_inanimate_furniture_bed_3.png
25.952	200	34	1	34	63	stim063_animate_insect_ant_3.png
26.152	200	35	1	35	31	stim031_animate_bird_parrot_3.png
26.352	200	36	1	36	15	stim015_animate_aquatic_shark_3.png
26.552	200	37	1	37	169	stim169_inanimate_plants_sunflower_1.png
